region,assets_18,assets_17,bank_capital_18,bank_capital_17,net_income_18,net_income_17,credit_portfolio_18,credit_portfolio_17,ranking_multi
1,3900168.0,5471572.0,1544236.0,1777847.0,83249.0,79562.0,13732.0,66126.0,2
0,14049798.0,11916190.0,1477085.0,1345238.0,138590.0,106648.0,8166095.0,5626379.0,2
0,3664229.0,4046699.0,502546.0,523506.0,-104759.0,-59780.0,2383673.0,2288102.0,0
1,237280953.0,241550607.0,36678023.0,41410948.0,500183.0,-1599399.0,135691097.0,146813840.0,2
0,4481228.0,4440604.0,1277197.0,1263750.0,94736.0,85527.0,2741430.0,2933740.0,0
1,3520957.0,2781615.0,1377910.0,1118791.0,271472.0,171743.0,1478100.0,1521533.0,0
0,6233422.0,6022448.0,1073378.0,932615.0,32976.0,14801.0,3855478.0,4029723.0,0
1,3742257.0,3927641.0,1457485.0,1263118.0,9894.0,-55191.0,1096588.0,1158802.0,1
1,14576224.0,14543840.0,5856259.0,5901943.0,71486.0,-92935.0,3974292.0,4596237.0,0
0,50915971.0,49838602.0,7974454.0,7604803.0,867508.0,678088.0,22056178.0,18920784.0,2
0,24941074.0,20473846.0,3108477.0,2915242.0,379721.0,386931.0,3838187.0,4384832.0,1
1,24601098.0,14999840.0,3384425.0,2827052.0,693541.0,182634.0,5267455.0,7732529.0,0
1,3875346.0,4480225.0,1183208.0,1073602.0,88875.0,50418.0,601132.0,651642.0,1
0,10959751.0,11059520.0,1322316.0,1269655.0,129115.0,128074.0,6376063.0,5339724.0,0
1,7259511.0,6874366.0,1635642.0,1465498.0,210209.0,147647.0,1045875.0,1390637.0,2
1,9382611.0,9448456.0,2187957.0,2348300.0,105265.0,31483.0,2616130.0,2560738.0,0
0,23436943.0,22235594.0,3347840.0,3096490.0,365367.0,496236.0,13234860.0,11070094.0,2
0,39156625.0,32392982.0,11199015.0,8993867.0,1820718.0,2297716.0,2251310.0,1484316.0,2
1,32109346.0,27421593.0,2936006.0,2873746.0,94779.0,135151.0,8855008.0,7449106.0,0
0,7624494.0,7580618.0,1159178.0,1153098.0,52906.0,94140.0,2405606.0,1738776.0,1
1,360311154.0,293197506.0,44204882.0,38430522.0,4424107.0,3089964.0,238217003.0,163977567.0,2
1,1017869507.0,928934469.0,132215598.0,118550760.0,9405000.0,5913143.0,431410059.0,394149422.0,2
0,6583486.0,6678665.0,1706741.0,1838124.0,13034.0,91612.0,3953587.0,3573347.0,0
0,57651215.0,49908399.0,7519691.0,6114297.0,1738625.0,1534536.0,37397466.0,30926955.0,2
0,7448024.0,7112549.0,1270902.0,1224466.0,78116.0,51147.0,1961125.0,2375815.0,1
1,1065944.0,1023476.0,341441.0,340524.0,12109.0,8139.0,186356.0,214994.0,0
